"STATION_ID;""SITE_NAME"";""ZDALY_GAS_BRAND"";""ADDRESS"";""CITY"";""STATE"";""ZIP"";""COUNTY_NAME"";""PRICING_ZONE"";""CLUSTER_MEDIAN_PRICE"";""CLIENT_MARKET_PRICE"";""LATITUDE"";""LONGITUDE"""
"741;""6297 | (BRISAS)"";Petro 7;Boulevard Isidro López Zertuche No. 5851;Saltillo;Coahuila De Zaragoza;""25000"";ZM Saltillo;""15_Coah_za"";8.125;8.05;25.48155;-100.9835"
"485;""6086 | (Industrial)"";Petro 7;Boulevard Isidoro López Zertuche No. 5950;Saltillo;Coahuila De Zaragoza;""25210"";ZM Saltillo;""15_Coah_za"";8.125;8.08;25.48239;-100.9813"
"612;""6015 | (Luis Echeverria)"";Petro 7;Periférico Luis Echeverría No. 2843;Saltillo;Coahuila De Zaragoza;""25298"";ZM Saltillo;""15_Coah_za"";8.125;8.08;25.45015;-100.998"
"456;""8658 | (Rufino Tamayo)"";Petro 7;Boulevard Nazario Ortiz Garza S/N Esquina Rufino Tamayo;Saltillo;Coahuila De Zaragoza;""25000"";ZM Saltillo;""15_Coah_za"";8.125;8.12;25.45598;-100.9761"
"23251;""6240 | (EL CHIFLON II)"";Petro 7;CARRETERA SALTILLO - TORREON NUM. 12020;Saltillo;Coahuila De Zaragoza;""0"";ZM Saltillo;""15_Coah_za"";8.125;8.13;25.4561;-101.1042"
"488;""8662 | (Valle Real)"";Petro 7;Boulevard Cuauhtémoc No. 684;Saltillo;Coahuila De Zaragoza;""25205"";ZM Saltillo;""15_Coah_za"";8.125;8.21;25.47087;-100.9607"
"620;""8672 | (Ex-Hda. Los Rdz)"";Petro 7;Boulevard Venustiano Carranza S/N;Saltillo;Coahuila De Zaragoza;""25206"";ZM Saltillo;""15_Coah_za"";8.125;8.21;25.490101;-100.96777"
"740;""6300 | (METROPOLITANA)"";Petro 7;Periférico Luis Echeverría Álvarez No. 2450;Saltillo;Coahuila De Zaragoza;""25022"";ZM Saltillo;""15_Coah_za"";8.125;8.25;25.41525;-100.975"
"476;""6023 | (Fundadores)"";Petro 7;Boulevard Centenario de Torreón No. 7025;Saltillo;Coahuila De Zaragoza;""25019"";ZM Saltillo;""15_Coah_za"";8.125;8.3;25.43487;-100.9133"
"459;""8665 | (Carr. A Torreon)"";Petro 7;Periférico Luis Echeverría No. 1824;Saltillo;Coahuila De Zaragoza;""25113"";ZM Saltillo;""15_Coah_za"";8.125;8.46;25.45446;-101.0064"
